host	logname	time	method	url	response	bytes	referer	useragent
205.163.36.61	-	807249721	GET	/images/NASA-logosmall.gif	304	0		
205.163.36.61	-	807249721	GET	/images/KSC-logosmall.gif	304	0		
139.230.35.135	-	807249722	GET	/shuttle/missions/sts-49/mission-sts-49.html	200	9271		
rpgopher.aist.go.jp	-	807249722	GET	/images/NASA-logosmall.gif	304	0		
ip-pdx6-54.teleport.com	-	807249723	GET	/history/apollo/apollo-13/apollo-13.html	200	18556		
rpgopher.aist.go.jp	-	807249724	GET	/images/USA-logosmall.gif	304	0		
rpgopher.aist.go.jp	-	807249724	GET	/images/ksclogo-medium.gif	304	0		
piweba4y.prodigy.com	-	807249724	GET	/history/apollo/apollo.html	200	3260		
rpgopher.aist.go.jp	-	807249724	GET	/images/MOSAIC-logosmall.gif	304	0		
www-d3.proxy.aol.com	-	807249724	GET	/images/KSC-logosmall.gif	200	1204		
www-d3.proxy.aol.com	-	807249725	GET	/history/apollo/images/apollo-logo1.gif	200	1173		
haraway.ucet.ufl.edu	-	807249725	GET	/images/rss.gif	200	283389		
www-d3.proxy.aol.com	-	807249725	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	200	12054		
rpgopher.aist.go.jp	-	807249725	GET	/images/WORLD-logosmall.gif	304	0		
205.163.36.61	-	807249730	GET	/cgi-bin/imagemap/countdown70?342,281	302	98		
uplherc.upl.com	-	807249731	GET	/shuttle/missions/sts-71/images/KSC-95EC-0589.gif	200	45846		
piweba4y.prodigy.com	-	807249732	GET	/history/apollo/images/footprint-small.gif	200	18149		
piweba1y.prodigy.com	-	807249733	GET	/	200	7280		
165.213.131.21	-	807249735	GET	/procurement/procurement.html	200	3646		
205.163.36.61	-	807249735	GET	/shuttle/countdown/liftoff.html	304	0		
haraway.ucet.ufl.edu	-	807249740	GET	/facilities/mlp.html	200	2653		
haraway.ucet.ufl.edu	-	807249741	GET	/images/mlp-logo.gif	200	28426		
rpgopher.aist.go.jp	-	807249747	GET	/shuttle/countdown/	200	4324		
rpgopher.aist.go.jp	-	807249750	GET	/shuttle/countdown/count70.gif	304	0		
rpgopher.aist.go.jp	-	807249750	GET	/images/KSC-logosmall.gif	304	0		
slppp6.intermind.net	-	807249750	GET	/history/skylab/skylab-2.html	200	1478		
in24.inetnebr.com	-	807249752	GET	/shuttle/missions/sts-68/news/sts-68-mcc-10.txt	200	1712		
piweba1y.prodigy.com	-	807249753	GET	/images/ksclogo-medium.gif	200	5866		
205.163.36.61	-	807249756	GET	/shuttle/countdown/video/livevideo2.gif	200	71319		
rpgopher.aist.go.jp	-	807249765	GET	/cgi-bin/imagemap/countdown70?181,275	302	110		
rpgopher.aist.go.jp	-	807249767	GET	/shuttle/missions/sts-70/movies/movies.html	200	2979		
rpgopher.aist.go.jp	-	807249770	GET	/shuttle/missions/sts-70/sts-70-patch-small.gif	304	0		
piweba1y.prodigy.com	-	807249770	GET	/images/NASA-logosmall.gif	304	0		
www-d3.proxy.aol.com	-	807249774	GET	/shuttle/countdown/	200	4324		
in24.inetnebr.com	-	807249777	GET	/shuttle/missions/sts-68/news/sts-68-mcc-11.txt	200	2187		
piweba4y.prodigy.com	-	807249780	GET	/images/KSC-logosmall.gif	200	1204		
piweba4y.prodigy.com	-	807249791	GET	/history/apollo/images/apollo-logo1.gif	200	1173		
haraway.ucet.ufl.edu	-	807249792	GET	/shuttle/missions/sts-70/o-ring-problem.gif	200	16197		
rpgopher.aist.go.jp	-	807249794	GET	/shuttle/missions/sts-70/movies/woodpecker.mpg	200	190269		
piweba1y.prodigy.com	-	807249802	GET	/history/history.html	200	1602		
133.43.96.45	-	807249808	GET	/shuttle/resources/orbiters/endeavour.gif	200	16991		
in24.inetnebr.com	-	807249808	GET	/shuttle/missions/sts-68/news/sts-68-mcc-12.txt	200	1881		
www-c6.proxy.aol.com	-	807249808	GET	/shuttle/missions/sts-68/sts-68-patch-small.gif	200	17459		
piweba1y.prodigy.com	-	807249809	GET	/history/apollo/images/apollo-small.gif	304	0		
165.213.131.21	-	807249812	GET	/images/op-logo-small.gif	200	14915		
gw1.att.com	-	807249813	GET	/shuttle/missions/sts-73/mission-sts-73.html	304	0		
gw1.att.com	-	807249816	GET	/images/launch-logo.gif	304	0		
